id,created_at,user_name,user_location,full_text,user_followers_count,retweet_count,Candidat
1471822195869597701,Fri Dec 17 12:38:51 +0000 2021,Clasen thomas,,vpecresse Et donner 5 ans  madame pecresse cest une pure folie,16,0,Valerie Pecresse
1471819266529939456,Fri Dec 17 12:27:12 +0000 2021, Gaulois rfractaire Matricule 20698 ,France,"RT Laurentmorin Laveu de Zemmour qui choque les patriotes sincres 

Il appelle les lus LR  le parrainer pour empcher MLPofficie",1495,21,Valerie Pecresse
1471821971612704768,Fri Dec 17 12:37:57 +0000 2021,Knibihler JeanMarc,Riedisheim,lemondefr Aprs pecresse  marine et hidalgo  le guignol sera complet,19,0,Valerie Pecresse
1471821975027077120,Fri Dec 17 12:37:58 +0000 2021,PA B ThisIsACoup,Paris,RT UPRAsselineau 3 de remplacer Macron par Pcresse qui en est lexact sosie au fmininpour poursuivre la mme soumission  tout e,501,30,Valerie Pecresse
1471818844788477958,Fri Dec 17 12:25:32 +0000 2021,Noodles Aaronson,,"RT jylgallou Zemmour au banc dessai
imposer ses thmes  Immigration
mobiliser  Villepinte
matriser les sujets conomiques  ",54,35,Valerie Pecresse
1471822340107423748,Fri Dec 17 12:39:25 +0000 2021, Mozart ,France,RT dlang57500 Pcresse accuse daccumuler les clichs aprs sa sortie sur le foie gras httpstcor9w3PQ95F1,2662,3,Valerie Pecresse
1471819671036907520,Fri Dec 17 12:28:49 +0000 2021,Lalonde,,"RT sondagedivers  SONDAGE INSOLITE  DE CE MATIN MATIN 

EN CE VENDREDI 17  12  2021  
Voter et Re Tweeter S V P  Merci 
Ques",388,5,Valerie Pecresse
1471823448590766084,Fri Dec 17 12:43:49 +0000 2021,Jrme Le Burgonde,sur un Satellite du Soleil ,"SeizeAnes Oui il teste et garde de quoi faire tomber Pecresse et garde Philippe dans la manche
a sera lun ou lautre",123,0,Valerie Pecresse
1471817964685037574,Fri Dec 17 12:22:02 +0000 2021,Eurasienne,IDF France,"RT OlivierMonteil Limposture zemmour dvoile par luimme
Je le dis depuis le dbut peu lui importe de battre Macron ou Pecresse il",1750,26,Valerie Pecresse
1471824328656367619,Fri Dec 17 12:47:19 +0000 2021,Sylvie Lelorrain,,RT AgatheRau franceinfoplus Reconquete2022 AntoineDiers lesRepublicains Entre les adhrents partisans de Z qui ont vot Ciotti et ce,57,2,Valerie Pecresse
1471819835931832320,Fri Dec 17 12:29:28 +0000 2021,Lola7892,,RT ViveLaFrance999 Elle se dit maintenant pour la PMA alors quelle tait contre il y a 5 ans elle situe Oradour sur glane en Corrze e,244,30,Valerie Pecresse
1471823353975644161,Fri Dec 17 12:43:27 +0000 2021,Laurent Gasnier,,"RT anouchkacohen Z prfre Pecresse  Marine Le Pen
Nimporte qui dautre
On le savait mais la cest clair Son but nest pas de gagne",497,25,Valerie Pecresse
1471825139331444738,Fri Dec 17 12:50:33 +0000 2021,Msqtr,,"th76nat liberastrix paxamaresemper Majoritaire cest pas dominant
Et Pcresse de droite cest discutable en tout cas elle partage des ides que la gauche a comme les LR en gnral Dans les principes progrs individualisme universalisme etc  a change pas des masses",112,0,Valerie Pecresse
1471820161728630788,Fri Dec 17 12:30:46 +0000 2021,Isabelle Simonot,Bordeaux,RT FrancisBack5 Cest quand mme fou Une journaliste nhsite pas  demander au Prsident de se justifier sur des photos dil y a 3 an,2595,5,Valerie Pecresse
1471817683742216196,Fri Dec 17 12:20:55 +0000 2021,Franois Gemenne,Paris France,PetwitHom PrimairePop Ben ils vont voter Macron par peur dun second tour Pcresse  Le Pen,29069,0,Valerie Pecresse
1471821104843046916,Fri Dec 17 12:34:31 +0000 2021,Rabia Aziz,Lyon RhneAlpes,"RT Challenges Grve SNCF Valrie Pcresse au second tour Claude Guant incarcr Les actualits de la semaine
 httpstcoodpzZsK9w0",66,1,Valerie Pecresse
1471823974552190985,Fri Dec 17 12:45:55 +0000 2021,Veyrenc MarieCcile,,RT YvesPDB Pcresse qui a ouvert une brche chez Macron la relative audience de son mission sur TF1 montre des changements en profond,152,477,Valerie Pecresse
1471820120158785539,Fri Dec 17 12:30:36 +0000 2021,Serge Fax,IDF,a me va je vote Pcresse httpstco2wW96VKWzV,463,0,Valerie Pecresse
1471822796309282829,Fri Dec 17 12:41:14 +0000 2021,Transfo,IledeFrance France,"RT Crispalou vpecresse LeFigaro En 2008 Valrie Pcresse cest 
 plus dimpts
 un chmage gt10 
 une croissance 0
En 2021 Emma",1240,9,Valerie Pecresse
1471824622232518658,Fri Dec 17 12:48:29 +0000 2021,Marc L    ,Cachan France,RT adia66 Journaliste FranceInfo Pcresse dit quelle baissera les fonctionnaires mais ne touchera pas aux policiers,877,1,Valerie Pecresse
1471821895418929154,Fri Dec 17 12:37:39 +0000 2021,Enzensberger,Murmansk Russie,"RT diazedwige Incroyable aveu dEric Zemmour dans FaceABaba 

Il appelle les lus LR  le parrainer pour empcher MLPofficiel de fai",28,101,Valerie Pecresse
1471818856255705104,Fri Dec 17 12:25:35 +0000 2021,Steven,PARIS,clementmci et combien pour Pcresse car pcresse   macron et a beaucoup ne lont pas encore compris,569,0,Valerie Pecresse
1471820858490560526,Fri Dec 17 12:33:32 +0000 2021,nina cartier,,"RT Crispalou vpecresse LeFigaro En 2008 Valrie Pcresse cest 
 plus dimpts
 un chmage gt10 
 une croissance 0
En 2021 Emma",95,9,Valerie Pecresse
1471825240850411524,Fri Dec 17 12:50:57 +0000 2021,Ben Weareone ,Rennes France,"RT MartineMargott1 Questce que cest que ce cirque pour la prsidentielle
 gauche il va y avoir plus de candidats que dlecteurs
",1492,20,Valerie Pecresse
1471821629764345863,Fri Dec 17 12:36:36 +0000 2021,Lbg Jrme,,"RT jylgallou Zemmour au banc dessai
imposer ses thmes  Immigration
mobiliser  Villepinte
matriser les sujets conomiques  ",62,35,Valerie Pecresse
1471816564148260869,Fri Dec 17 12:16:28 +0000 2021,Half,,RT BVAFrance Popularit du couple excutif en hausse  Emmanuel Macron  44 de bonnes opinions  2   Jean Castex  43 de bonnes op,259,6,Valerie Pecresse
1471825327458504707,Fri Dec 17 12:51:17 +0000 2021,Arletty    ,,"RT Krieger66362259 La vente dAlstom  ce secret entre Valrie Pcresse et Emmanuel Macron est une vritable bombe  retardement
https",286,491,Valerie Pecresse
1471820456793718786,Fri Dec 17 12:31:56 +0000 2021,CharlesMartel en Tte  ,Lille,RT JBardella Lorsque lon est de droite on ne peut pas soutenir Valrie Pcresse qui a appel  voter pour Emmanuel Macron en 2017 qu,152,567,Valerie Pecresse
1471821870412488720,Fri Dec 17 12:37:33 +0000 2021,Yves 66,,RT Bluethistle7 lancelot964 Si jamais il ne peut se prsenter a sera abstention et si a favorise macron tant pis je ne voterai pas Pe,318,1,Valerie Pecresse
1471819508419551237,Fri Dec 17 12:28:10 +0000 2021,Mandrin,,RT YvesPDB Pcresse qui a ouvert une brche chez Macron la relative audience de son mission sur TF1 montre des changements en profond,4296,477,Valerie Pecresse
1471820611165081606,Fri Dec 17 12:32:33 +0000 2021,Pierre Markt,,RT UPRAsselineau 3 de remplacer Macron par Pcresse qui en est lexact sosie au fmininpour poursuivre la mme soumission  tout e,2,30,Valerie Pecresse
1471816968151908352,Fri Dec 17 12:18:04 +0000 2021,Djokkor   ,," Madame Pcresse fera comme Chirac cestdire que ses promesses nengageront que ceux qui les coutent elle trahira ses lecteurs  ric Zemmour

Zemmour2022 FaceABaba",208,1,Valerie Pecresse
1471825312195522563,Fri Dec 17 12:51:14 +0000 2021,sousH Vaccin AZ 22 ,,RT stopMLPetJLM Les ractions hostiles  EMacron sont tellement prvisibles Hier ctait un peu interview people et le prsident sest,1843,45,Valerie Pecresse
1471822342376628225,Fri Dec 17 12:39:26 +0000 2021,mark,,"RT xxxxNeoxxxx Ceux qui sapprtent  voter Pecresse doivent sattendre  voir leurs impts et les taxes fortement augmenter
Ils ne p",591,21,Valerie Pecresse
1471820678731124742,Fri Dec 17 12:32:49 +0000 2021,Vessiere Martine,IssylesMoulineaux France,RT avecValerie Il faut faire de la police municipale la 3me force de scurit du pays Il faut la rendre obligatoire et arme dans tout,145,46,Valerie Pecresse
1471823563942465536,Fri Dec 17 12:44:17 +0000 2021,verfail michelle MARINE2022 Prsidentielle2022,Ma France  ma vie ton avenir,RT nathanrn29 Donc si on comprend bien ZemmourEric appelle les lus LR  le parrainer pour empcher MLPofficiel dtre au 2 nd tour,571,48,Valerie Pecresse
1471823328658788354,Fri Dec 17 12:43:21 +0000 2021,Jeanfranois Delahaut,Ajaccio France,"RT YvesPDB Covid19  7 parents sur 10 sopposent  la vaccination de leurs enfants de 5  11 ans

Ah Quand mme  Pcresse devrait rf",3009,95,Valerie Pecresse
